ORDER_NUMBER,POSITION_NUMBER,NOMENCLATURE,AMOUNT,COST,SUM,VAT
337,2,Свч барабан HP 1005/1006/1505 (Fuji),1,650,650,99.15
337,3,Заправка картриджа 500,1,500,500,76.27
338,1,Заправка картриджа 500,1,500,500,76.27
339,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
339,2,Термопленка HP 1200 (1200),1,1350,1350,205.93
340,1,Профилактика (1600),1,1600,1600,244.07
341,1,Профилактика (1600),1,1600,1600,244.07
342,1,Диагностика,1,400,400,61.02
343,1,Мелкий ремонт,1,400,400,61.02
345,1,Ремонт ноутбука,1,1000,1000,152.54
350,1,Востановление шлейфа,1,700,700,106.78
350,2,Восстановление крепления,1,800,800,122.03
352,1,Мелкий ремонт,1,400,400,61.02
353,1,Ремонт оргтехники (300),0,300,0,0
354,1,Профилактика принтреа (1200),1,1200,1200,183.05
355,1,Заправка картриджа 500,1,500,500,76.27
355,2,Мелкий ремонт,1,400,400,61.02
356,1,Мелкий ремонт,1,400,400,61.02
357,1,Профилактика МФУ А4 (1200),1,500,500,76.27
358,1,Ремонт оргтехники (1300),1,1300,1300,198.31
360,1,Замена матрицы 5250,1,5250,5250,800.85
362,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
363,1,Переустановка Windows,1,1500,1500,228.81
363,2,Программное обеспечение KL1161RBBFS Kaspersky Anti,1,1095,1095,167.03
364,1,Диагностика,1,400,400,61.02
365,1,RM1-6414 Ролик захвата из кассеты LJ P2030/2035 /,1,580,580,88.47
365,2,RM1-6397 тормозн. площ. лоткаP2030 / P2050 / P2055,1,700,700,106.78
368,1,Прочистка печатающей головки,1,900,900,137.29
368,2,Мелкий ремонт,1,400,400,61.02
370,1,Профилактика принтера А3 (1300),1,1200,1200,183.05
371,1,"Замена матрицы(116261) 10.1 Glare N101L6-L0D, WSVG",1,3500,3500,533.9
373,1,Переустановка Windows,1,1500,1500,228.81
375,1,Мелкий ремонт,1,400,400,61.02
378,1,Ремонт монитора,1,1100,1100,167.8
379,1,Замена лампы подсветки (4000),1,4000,4000,610.17
380,1,Мелкий ремонт,1,400,400,61.02
383,1,Тонер KX-FAT92A,1,1450,1450,221.19
383,2,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
383,3,KX-FAD93A/E(7)  Барабан  Panasonic,1,4200,4200,640.68
381,1,Замена клавиатуры (327046) [Lenovo IdeaPad U410] [,1,1800,1800,274.58
382,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
384,1,Ремонт/настройка  оргтехники (1800),1,1800,1800,274.58
385,1,RM1-6414 Ролик захвата из кассеты LJ P2030/2035 /,1,580,580,88.47
385,2,Термопленка HP 1200 (1200),1,1350,1350,205.93
385,3,Профилактика принтера А3 (1300),1,1200,1200,183.05
386,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
387,1,Настройка системы,1,900,900,137.29
388,1,Переустановка Windows,1,1500,1500,228.81
389,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
389,2,Заправка картриджа 500,1,500,500,76.27
390,1,Ремонт оргтехники (500),1,500,500,76.27
392,1,Переустановка Windows,1,1500,1500,228.81
393,1,Мелкий ремонт,1,400,400,61.02
394,1,Замена матрицы (111290) 15.6 Glare LP156WH1 (TL)(C,1,8800,8800,1342.37
397,1,Мелкий ремонт,1,400,400,61.02
398,1,Замена аккумулятора,1,250,250,38.14
398,2,Батарея Sven SV 1272 (12V 7.2Ah) батарея аккумулят,1,1050,1050,160.17
399,1,Ремонт оргтехники (250),1,250,250,38.14
399,2,Батарея Sven SV 1272 (12V 7.2Ah) батарея аккумулят,1,1050,1050,160.17
400,1,Батарея Sven SV 1272 (12V 7.2Ah) батарея аккумулят,1,1050,1050,160.17
400,2,Ремонт оргтехники (250),1,250,250,38.14
401,1,Ремонт оргтехники (250),1,250,250,38.14
401,2,Батарея Sven SV 1272 (12V 7.2Ah) батарея аккумулят,1,1050,1050,160.17
402,1,Диагностика,1,400,400,61.02
403,1,Прочистка печатающей головки,1,900,900,137.29
404,1,Мелкий ремонт,1,400,400,61.02
405,1,Замена термопленки HP 1200/1300/1010/1160/1320/100,1,1350,1350,205.93
405,2,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
405,3,RU6-0018 Original Шестерня - муфта 23/ 56T привода,1,500,500,76.27
405,4,Заправка картриджа 500,1,500,500,76.27
407,1,Замена клавиатуры (386318) (ASUS K55) Black,1,3000,3000,457.63
408,1,Установка антивирусной программы,1,400,400,61.02
408,2,[Коробочное программное обеспечение] AHW-A-12M-2-A,1,1350,1350,205.93
409,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
411,1,Ремонт/настройка  оргтехники (2000),1,2000,2000,305.08
411,2,Ремонт оргтехники (500),1,500,500,76.27
412,1,Ремонт монитора (1500),1,1500,1500,228.81
413,1,Замена отделительной площадки HP 1010/1012 (ориг),1,400,400,61.02
413,2,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
416,1,Ремонт оргтехники (900),1,900,900,137.29
417,1,Замена матрицы (218750) 15.6 Glare LP156WH4 (TL)(N,1,4250,4250,648.31
419,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
